Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
454,193,0.575,eat per artus ensis exactus meos.,Gelidus per artus vadit exanguis tremor.
455,636,0.9523809523809523,"sic, sic agendum est.","sic, sic agendum est:"
496,206,0.5428571428571429,"Vinci cum potuit, hinc coepit mori.",Cogi qui potest nescit mori.
510,515,0.7222222222222222,"misera, pergis?",Quo misera pergis?
512,417,0.6111111111111112,Damnat meas devictus Alcides manus:,tunc et meas respexit Alcides manus;
514,637,0.5,Si novi Herculem.,inferis reddam Herculem.
561,629,0.5,error a culpa vacat.,casus hic culpa caret.
564,619,0.5,hoc erit pietas scelus.,"manus refugit, hic errat scelus."
572,333,0.5,feri.,dedit.
579,183,0.5294117647058824,sedere arbitri?,cecidere fratres?
597,515,0.6111111111111112,o misera pietas:,Quo misera pergis?
617,516,0.5333333333333333,quae nata est iterum perit.,quam fugam aut latebram petis?
631,274,0.5625,est est Herculeus sonus.,est est sonitus Herculei gradus.
635,214,0.5789473684210527,quid parcis astris?,quid virtus erit?
635,533,0.5789473684210527,quid parcis astris?,quo pergis amens?
650,200,0.5909090909090908,morior Alcides quibus?,"moriar, Alcide, tua."
677,675,0.56,"Herculem agnoscis, pater?",Herculem irasci veta.
703,602,0.5294117647058824,unde iste fletus?,differte fletus;
743,487,0.5555555555555556,"ubi natus, ubinam?",dubitatur etiam?
745,333,0.5,gemit:,dedit.
746,627,0.5384615384615384,peractum est.,nostrum est.
757,649,0.5384615384615384,victor Herculeus quis est?,Nunc Hercule opus est:
764,313,0.5,membra nudata intuor.,membra laetitia stupent.
765,539,0.5,Consumpta mecum est.,consumma sacrum.
765,627,0.5,Consumpta mecum est.,nostrum est.
765,670,0.6,Consumpta mecum est.,hoc unum meum est.
799,516,0.5666666666666667,quas petam latebras anus?,quam fugam aut latebram petis?
801,675,0.5238095238095238,Herculem solus domat.,Herculem irasci veta.
811,675,0.5217391304347826,Herculem amitto patrem.,Herculem irasci veta.
815,469,0.5333333333333333,Quid hoc?,— sed quid hoc?
815,494,1.0,Quid hoc?,Quid hoc?
815,618,0.8888888888888888,Quid hoc?,quid hoc?
824,107,0.5555555555555556,quid hoc?,quid?
824,235,0.5555555555555556,quid hoc?,quid?
824,469,0.6,quid hoc?,— sed quid hoc?
824,494,0.8888888888888888,quid hoc?,Quid hoc?
824,618,1.0,quid hoc?,quid hoc?
827,214,0.5217391304347826,quis mihi terras dedit?,quid virtus erit?
869,200,0.5,vivit Alcides tibi.,"moriar, Alcide, tua."
910,469,0.7333333333333334,Heu quid hoc?,— sed quid hoc?
910,494,0.6153846153846154,Heu quid hoc?,Quid hoc?
910,542,0.5,Heu quid hoc?,macta— quid hoc est?
910,618,0.6923076923076923,Heu quid hoc?,quid hoc?
922,247,0.5625,en domita omnia.,Non nosti omnia:
925,332,0.5555555555555556,haec quoque accessit feris:,hoc quoque est lentum:
926,701,0.5714285714285714,inter labores ignis Herculeos abit.,eat ad labores hic quoque Herculeos labor:
962,349,0.55,iam flere pudor est;,nec ire labor est;
977,110,0.55,quid dextra tremuit?,Quid ista prosunt?
977,214,0.55,quid dextra tremuit?,quid virtus erit?
977,269,0.52,quid dextra tremuit?,quid deos frustra precor?
977,305,0.5,quid dextra tremuit?,quid restat aliud?
1014,214,0.5,quid diem questu tero?,quid virtus erit?
1014,269,0.52,quid diem questu tero?,quid deos frustra precor?
1014,324,0.8636363636363636,quid diem questu tero?,cur diem questu tero?
1015,110,0.5217391304347826,quid misera duras vita?,Quid ista prosunt?
1015,214,0.5217391304347826,quid misera duras vita?,quid virtus erit?
1015,515,0.5217391304347826,quid misera duras vita?,Quo misera pergis?
1016,158,0.5294117647058824,quid lucem tenes?,quid temptat?
1016,178,0.5263157894736843,quid lucem tenes?,quid totidem rogos?
1038,147,0.5,omne iam ingratum est genus.,omnis in ferro est salus:
1038,663,0.5,omne iam ingratum est genus.,morte sanandum est scelus.
1053,604,0.5,"quid, anime, trepidas?","quid, genitor, siles?"
1055,259,0.7647058823529411,complectere ossa:,complectere aras:
1126,269,0.5161290322580645,"quid timuere tui manes, precor?",quid deos frustra precor?
